# id|display name|short description
dracula|Dracula|Current purple/pink theme with the existing Dracula Homepage assets.
obsidian|Obsidian Glass|Dark slate surfaces with restrained emerald and cyan accents.
nord|Nord|Muted arctic blue-gray palette with calm operational contrast.
cyber|Cyber Console|Near-black NOC palette with cyan and lime status accents.
minimal|Minimal Dark|Neutral zinc surfaces with low decoration and fast scanning.
graphite|Graphite|Charcoal interface with amber focus and blue information accents.
rose-pine|Rose Pine|Deep mauve surfaces with rose, gold, and foam accents.
daylight|Daylight|Bright white workspace with blue navigation and green status accents.
paper|Paper|Light neutral catalog with cobalt headings and coral actions.
high-contrast|High Contrast|Black and white surfaces with strong cyan/yellow focus cues.
